sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS19621-5563STDY7800697,0.027,0.002,gamb_colu,gambiae
VBS19622-5563STDY7800698,0.024,0.002,gamb_colu,gambiae
VBS19623-5563STDY7800699,0.027,0.002,gamb_colu,gambiae
VBS19624-5563STDY7800700,0.021,0.002,gamb_colu,gambiae
VBS19625-5563STDY7800701,0.032,0.002,gamb_colu,gambiae
VBS19626-5563STDY7800702,0.033,0.002,gamb_colu,gambiae
VBS19627-5563STDY7800703,0.035,0.002,gamb_colu,gambiae
VBS19628-5563STDY7800704,0.026,0.002,gamb_colu,gambiae
VBS19629-5563STDY7800705,0.020,0.003,gamb_colu,gambiae
VBS19632-5563STDY7800708,0.019,0.003,gamb_colu,gambiae
VBS19633-5563STDY7800709,0.025,0.002,gamb_colu,gambiae
VBS19634-5563STDY7800712,0.022,0.002,gamb_colu,gambiae
VBS19635-5563STDY7800713,0.025,0.002,gamb_colu,gambiae
VBS19636-5563STDY7800714,0.030,0.002,gamb_colu,gambiae
VBS19637-5563STDY7800715,0.021,0.002,gamb_colu,gambiae
VBS19638-5563STDY7800716,0.031,0.002,gamb_colu,gambiae
VBS19639-5563STDY7800717,0.019,0.002,gamb_colu,gambiae
VBS19640-5563STDY7800718,0.026,0.003,gamb_colu,gambiae
VBS19641-5563STDY7800719,0.023,0.002,gamb_colu,gambiae
VBS19642-5563STDY7800720,0.027,0.002,gamb_colu,gambiae
VBS19643-5563STDY7800721,0.024,0.002,gamb_colu,gambiae
VBS19644-5563STDY7800722,0.021,0.002,gamb_colu,gambiae
VBS19645-5563STDY7800723,0.036,0.002,gamb_colu,gambiae
VBS19646-5563STDY7800724,0.025,0.002,gamb_colu,gambiae
VBS19647-5563STDY7800725,0.028,0.002,gamb_colu,gambiae
VBS19648-5563STDY7800726,0.030,0.002,gamb_colu,gambiae
VBS19649-5563STDY7800727,0.022,0.002,gamb_colu,gambiae
VBS19650-5563STDY7800728,0.021,0.002,gamb_colu,gambiae
VBS19651-5563STDY7800729,0.031,0.002,gamb_colu,gambiae
VBS19652-5563STDY7800730,0.028,0.002,gamb_colu,gambiae
