sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	sample.accession	run.accession
WA-0162	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041433	ERR3289866,ERR3289902,ERR3289938
WA-0164	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	17	TRUE	ERS3041435	ERR3270020,ERR3270056,ERR3270092
WA-0165	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	15	FALSE	ERS3041436	ERR3270018,ERR3270054,ERR3270090
WA-0166	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	13	TRUE	ERS3041437	ERR3311834,ERR3311870,ERR3311906
WA-0167	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041438	ERR3311610,ERR3311646,ERR3311682
WA-0168	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041439	ERR3331528,ERR3331564,ERR3331600
WA-0169	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041440	ERR3289882,ERR3289918,ERR3289954
WA-0171	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041442	ERR3290113,ERR3290149,ERR3290185
WA-0174	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041453	ERR3311497,ERR3311533,ERR3311569
WA-0175	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041454	ERR3290222,ERR3290258,ERR3311445
WA-0176	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041455	ERR3290458,ERR3290494,ERR3331479
WA-0179	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041458	ERR3311596,ERR3311632,ERR3311668
WA-0186	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041465	ERR3290201,ERR3290237,ERR3311424
WA-0187	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041466	ERR3282303,ERR3282339,ERR3282375
WA-0195	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041474	ERR3311487,ERR3311523,ERR3311559
WA-0196	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041475	ERR3290468,ERR3290504,ERR3331489
WA-0199	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041445	ERR3282187,ERR3282223,ERR3282259
WA-0200	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041446	ERR3311484,ERR3311520,ERR3311556
WA-0203	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041449	ERR3282708,ERR3282744,ERR3282780
WA-0204	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041450	ERR3290439,ERR3290475,ERR3331460
WA-0207	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041478	ERR3282682,ERR3282718,ERR3282754
WA-0211	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041482	ERR3290220,ERR3290256,ERR3311443
WA-0212	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041483	ERR3311590,ERR3311626,ERR3311662
WA-0215	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041486	ERR3311599,ERR3311635,ERR3311671
WA-0218	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041489	ERR3282291,ERR3282327,ERR3282363
WA-0219	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041490	ERR3311705,ERR3311741,ERR3311777
WA-0220	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041491	ERR3331515,ERR3331551,ERR3331587
WA-0221	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041492	ERR3331726,ERR3331750,ERR3331774
WA-0222	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041493	ERR3290079,ERR3290115,ERR3290151
WA-0223	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041494	ERR3331517,ERR3331553,ERR3331589
WA-0227	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041498	ERR3289760,ERR3289796,ERR3289832
WA-0228	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041499	ERR3282204,ERR3282240,ERR3282276
WA-0229	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041500	ERR3290471,ERR3290507,ERR3331492
WA-0234	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041505	ERR3311513,ERR3311549,ERR3311585
WA-0235	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041506	ERR3290114,ERR3290150,ERR3290186
WA-0236	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041507	ERR3282701,ERR3282737,ERR3282773
WA-0237	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041508	ERR3289878,ERR3289914,ERR3289950
WA-0239	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead	20	FALSE	ERS3041510	ERR3311613,ERR3311649,ERR3311685
WA-0242	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041513	ERR3290275,ERR3290311,ERR3311462
WA-0243	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041514	ERR3289865,ERR3289901,ERR3289937
WA-0244	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041515	ERR3269942,ERR3269978,ERR3311940
WA-0245	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041516	ERR3289767,ERR3289803,ERR3289839
WA-0246	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041517	ERR3289871,ERR3289907,ERR3289943
WA-0247	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041518	ERR3290217,ERR3290253,ERR3311440
WA-0249	Ghana	Obuasi	6.2	-1.683	09/01/2017	gambiae	Delta	2	60	dead		FALSE	ERS3041520	ERR3331527,ERR3331563,ERR3331599
