specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
WA-0253	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0254	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0255	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0256	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0257	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0258	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0259	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0260	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0261	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0262	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0263	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0264	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0265	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0266	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0267	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0268	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0269	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0270	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0271	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0272	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0273	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0274	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0275	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0276	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0277	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0278	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0279	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0280	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0281	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0282	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0283	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0284	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0285	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0286	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0287	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0288	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0289	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0290	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0291	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0292	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0293	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0294	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0295	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0296	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0297	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0298	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0299	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0300	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0301	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0302	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0303	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0304	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0305	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0306	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0307	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0308	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0309	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0310	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0311	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0312	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0313	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0314	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0315	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0316	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0317	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0318	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0319	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0320	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0321	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0322	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0323	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0324	gambiae	Obuasi	Ghana	Delta	5	60	alive	WGS_PL4
WA-0325	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0326	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0327	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0328	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0329	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0330	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0331	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0332	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0333	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0334	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0335	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0336	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0337	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0338	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0339	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0340	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0341	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0342	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0343	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0344	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
WA-0345	gambiae	Baguida	Togo	Delta	2	60	dead	WGS_PL5
